file_id,file_name,h_mean,h_std,h_min,h_max,s_mean,s_std,s_min,s_max,l_mean,l_std,l_min,l_max,percentage_shadow_pixels,average_shadow_luminance
1Kg-rKCZJxlULxjfFDXJPCgWHmlSCpddX,Plumeria_912_aug_00386.jpg,37.077427455357146,15.43702761140001,0.0,177.0,69.17843191964286,54.17711277255559,0.0,255.0,74.86579241071429,43.31020021201254,0.0,250.0,28.4976881377551,28.77704734596825
1R97CaqsLN7ilruOTvAdOkaPOc-l3gh1I,Plumeria_964_aug_00384.jpg,43.08822943239796,13.606385905536085,0.0,172.0,61.27162388392857,47.206181900845685,0.0,255.0,60.54021843112245,29.52152477241839,0.0,232.0,35.37547831632653,31.30647887323944
1n2RGigqnjht8HVvU8nlz_moY6XtMyrdT,Plumeria_448_aug_00385.jpg,41.44612962372449,17.480389652653066,0.0,172.0,70.68233816964286,56.783143716400566,0.0,255.0,71.89863679846938,41.73192424285728,0.0,247.0,30.837452168367346,26.578168422413235
1n__PedHHY7k1JnmtkqDXZ2E4mrkKJSL4,Plumeria_36_aug_00381.jpg,46.95754942602041,25.343709336307867,0.0,174.0,76.79850924744898,73.50469718311707,0.0,255.0,48.47104193239796,41.37363340984644,0.0,234.0,54.89676339285714,18.307133781085497
1yUA8W1vvPbSbBp2LLK6XHpt__pJEh-Xd,Plumeria_903_aug_00382.jpg,43.111308195153065,16.333862624450354,0.0,172.0,63.12244897959184,54.065985730471986,0.0,255.0,60.817801339285715,35.608087178695584,0.0,248.0,38.58617665816326,28.10546975879345
1KCJzUH5ygg59PoEA7dKmc7Bx6A5uyf5l,Plumeria_562_aug_00380.jpg,36.87830835459184,25.49756881433811,0.0,174.0,88.27531090561224,79.47296913520631,0.0,255.0,57.756915656887756,51.57006981004188,0.0,251.0,47.72002551020408,14.086702305379218
1F4E0J1ObwpZYeQrbmUZJZV9SzTiT4_Mk,Plumeria_855_aug_00383.jpg,41.33569834183673,17.595567166738515,0.0,172.0,69.24810666454081,56.93863134253243,0.0,255.0,59.985132334183675,34.28263765862562,0.0,239.0,38.64596619897959,26.70522407302357
130AZ1VtiFBFoKf1vs8wVJ5-ECRDe5rkz,Plumeria_765_aug_00379.jpg,41.490234375,14.335133003996239,0.0,172.0,66.25629783163265,52.866988633012106,0.0,255.0,62.43911431760204,34.00652288044711,0.0,244.0,36.118861607142854,29.064338133863046
1c3mfuvPJe1GCp8n_Ak9dqtmJWFuJuYwk,Plumeria_217_aug_00378.jpg,47.71139588647959,19.107368012187315,0.0,174.0,87.76417012117346,73.41333791955974,0.0,255.0,49.90005181760204,36.32454942077486,0.0,209.0,53.595344387755105,22.729324706232337
1V3bLVI8peBP1dIqacpSM71bYMWhKu0TS,Plumeria_609_aug_00377.jpg,39.30420918367347,15.296051759796875,0.0,177.0,61.832589285714285,47.03834586742564,0.0,255.0,78.05225605867346,36.16084021820393,0.0,227.0,20.461973852040817,32.79039641570079
17cjOnpTb-qtKKtqLngNRIVNP_th7S8m6,Plumeria_43_aug_00374.jpg,38.630440848214285,20.9526465662824,0.0,172.0,41.71079799107143,50.150034063464545,0.0,255.0,73.4786152742347,42.80169009545871,0.0,254.0,25.474330357142854,19.608903145047723
1_hb0gP8M-7UbPAxgEAa1QyZMELnbX3G_,Plumeria_296_aug_00375.jpg,38.139429209183675,19.10016173015494,0.0,178.0,71.4350286989796,64.88439517784566,0.0,255.0,64.30098054846938,45.74737323431308,0.0,254.0,41.412228954081634,22.07209201597767
1OFdAgFjnqzAhtfGeBBkVOgydYxLNWsQS,Plumeria_944_aug_00372.jpg,35.32091039540816,21.767292553917052,0.0,174.0,46.71133609693877,53.37057118807973,0.0,255.0,49.39253826530612,30.80871222835278,0.0,193.0,48.51124043367347,24.72285444312066
1_KIzssj_rEFtG98rQbBH_v642fLMGEiH,Plumeria_895_aug_00373.jpg,34.029376594387756,21.16563888357462,0.0,172.0,95.45707110969387,75.65107488306045,0.0,255.0,39.89789939413265,30.344328288811894,0.0,228.0,66.22090242346938,22.791615252655973
1bRrTBxc07_Y_2kZxt4Il4M4JMK6LjxRQ,Plumeria_376_aug_00371.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.80096061862245,46.65240925627767,0.0,255.0,28.097098214285715,26.792736558377076
1UjQeBHBJ36FjZQ4aHfiral_NBwfLeq_J,Plumeria_883_aug_00369.jpg,39.86395886479592,12.044425583800834,0.0,172.0,39.9177096619898,36.03896480034669,0.0,255.0,57.11304209183673,24.16284851318626,0.0,185.0,38.63201530612245,34.309172513413124
1gfow_BtQEjrCXdgBVV_bfaMiwsR99x7J,Plumeria_652_aug_00370.jpg,34.85752152423469,22.491984303030495,0.0,178.0,59.939094387755105,59.70879119145407,0.0,255.0,69.10684390943878,46.77701114564265,0.0,248.0,36.342075892857146,21.588044968467234
1aFCZJMYHnDMjlimdOyzgdxapekEJTv-U,Plumeria_531_aug_00368.jpg,41.83075573979592,18.600670647479358,0.0,174.0,65.75747369260205,55.77922249097891,0.0,255.0,73.14301658163265,43.434274333553425,0.0,247.0,30.624202806122447,26.02329819081088
1c-lAvOYbwa9qSQaWVV82lj1wIFr1mxBQ,Plumeria_905_aug_00367.jpg,41.41011639030612,11.14190792742603,0.0,165.0,61.85919563137755,50.44593279962131,0.0,255.0,73.58571827168367,44.55910163880654,0.0,252.0,31.49912308673469,29.120278392913637
17X6uPPTgyTGDPO4oU7SSGXk3jxXwe5-g,Plumeria_672_aug_00364.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89997209821429,46.615221693070595,0.0,253.0,26.560507015306122,23.406843250544007
1lhaUCoOKIRxLbf8yWRAVccWaFgYmzoS3,Plumeria_932_aug_00365.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54593829719387,39.05881567120458,0.0,241.0,20.85857780612245,30.168641314733424
1gOKa9w2cBNqJTs3D9p4ZdvFmldfZWbGv,Plumeria_376_aug_00362.jpg,36.96759406887755,16.7574594240289,0.0,174.0,96.40148676658163,60.89933280284453,0.0,255.0,72.96478396045919,42.60773334494067,0.0,250.0,30.731823979591837,27.47217898832685
1cm32tAi_k7Clahnex6sYg8Llg6IhBGDE,Plumeria_160_aug_00361.jpg,41.63446667729592,24.72242941721601,0.0,172.0,58.938197544642854,63.01230458528806,0.0,255.0,56.80092075892857,42.543400146148585,0.0,251.0,44.40369897959184,18.84250448833034
1qSAYhySaG9ICKEcj6GVf85MsiHiW20nm,Plumeria_615_aug_00359.jpg,40.29962531887755,23.227260896959642,0.0,172.0,63.98505261479592,61.526603474089306,0.0,255.0,67.49635283801021,47.25706230048784,0.0,245.0,36.25438456632653,19.536144247155185
1-NffJde3UBWh2TihDLyjiMi8iT3fL6AX,Plumeria_699_aug_00360.jpg,49.208665497448976,19.643331605593723,0.0,172.0,84.82403938137755,65.20887954881972,0.0,255.0,79.18052455357143,49.27446874660911,0.0,254.0,28.812579719387756,23.94743031057619
