file_id,file_name,num_contours,avg_contour_area,std_contour_area,max_contour_area,min_contour_area,total_perimeter
1RfaOrOhpvohgphe6VvX2rWSSFV6aLmN8,erythrina_variegata_238_aug_00421.jpg,172,186.19476744186048,2367.2152498453806,31139.5,0.0,3303.166852712631
1jIgHNwa68vJXCbX-ek_5lFhLJilY85sv,erythrina_variegata_160_aug_00420.jpg,37,1110.8513513513512,6637.225360394231,40934.0,0.0,1985.991105914116
1Bi_wnLFo8hthNYbPklBHXI2EdFGp-kl-,erythrina_variegata_590_aug_00419.jpg,68,661.5808823529412,5409.5923698027955,44941.0,0.0,1755.526034116745
1Y817s7181N9olA-FgJZ--xCU2M_npLot,erythrina_variegata_382_aug_00416.jpg,197,197.51776649746193,2710.0231878377654,38133.5,0.0,3819.8644593954086
1YKB5FtTcx4gKUKuhKBngNhU7baUnV-L7,erythrina_variegata_356_aug_00417.jpg,490,74.03979591836735,1610.603601502054,35689.5,0.0,4239.4208109378815
1_m_enuHSDgDR9LxMgQjIzVF_m5RzK5Va,erythrina_variegata_468_aug_00418.jpg,64,670.171875,5311.639908477794,42830.0,0.0,1916.3027257919312
1SSfV0bP9W52MUg2L_U3jlfJljdRGV7To,erythrina_variegata_382_aug_00405.jpg,33,1122.2272727272727,6336.878544141082,36969.0,0.0,1533.408282995224
19DNnDrdfxop9da2-L5OfEWqNluslJypS,erythrina_variegata_356_aug_00414.jpg,317,114.60410094637224,2011.0705414284896,35864.0,0.0,4964.728587031364
1Q2d4UXz1OBt4CRCgdIiCiShbICKaMDYh,erythrina_variegata_671_aug_00408.jpg,7,6442.928571428572,15781.88744919896,45100.5,0.0,949.0954525470734
13oMwOP2BHioYgsrr1E3nhHjTDeB6F_Kb,erythrina_variegata_103_aug_00413.jpg,358,109.85055865921788,2042.3421738732354,38698.5,0.0,4473.753850102425
1-DipDhvP3bnxKFq-4wIwdXAzN3ebzwq1,erythrina_variegata_665_aug_00404.jpg,35,1186.357142857143,6911.332406760269,41486.0,0.0,1715.383898973465
1EZ7zU7GLGIyXiN2Pb3qq2gUwGHIRY7-w,erythrina_variegata_420_aug_00406.jpg,256,131.1796875,2081.1148320731613,33363.5,0.0,2731.066347837448
1zOal2_Gxxg_F5RT3-F8D5bdTdK_XrL1v,erythrina_variegata_125_aug_00403.jpg,106,401.41037735849056,4101.720139504503,42431.5,0.0,3505.6563094854355
1WRCqy3xNgtxaZx4oUhaq5Gij0gg9fxmV,erythrina_variegata_620_aug_00401.jpg,1,49105.5,0.0,49105.5,49105.5,914.6690467596054
1KGFhKRStPY-4qz5Gy9zhB1D3cB6qSZBr,erythrina_variegata_620_aug_00400.jpg,3,12927.333333333334,18282.01012531779,38782.0,0.0,849.705624461174
1dIIwEQHZHqAwkt3yiDDnT9MG0t5oPCio,erythrina_variegata_361_aug_00399.jpg,72,594.8194444444445,4955.435307362538,42348.5,0.0,2049.900704741478
1TK8_nQzkswxmfbFKn3Z4RBLppAZ93an4,erythrina_variegata_665_aug_00393.jpg,51,844.9313725490196,5966.29448342414,43033.0,0.0,1720.0945752859116
1KtSEBt1vQficwFyYObGEf22pkEdCsBNB,erythrina_variegata_420_aug_00396.jpg,107,361.0607476635514,3651.216416631049,37951.5,0.0,2736.2408850193024
1YUwDrOS8LPzOJ_AAUMujYoYu45UAXvle,erythrina_variegata_557_aug_00395.jpg,39,961.7435897435897,5858.242635842906,37072.5,0.0,1616.0874350070953
12YWasi2M7pBz0R9YXL82V-3CGQM73sIn,erythrina_variegata_160_aug_00394.jpg,469,65.63859275053305,1398.1486769282849,30311.5,0.0,3354.009560585022
1A2U839ZEWqMbwodYr_qmYzlDcwzZAFae,erythrina_variegata_160_aug_00389.jpg,363,97.24517906336088,1790.9420237543172,34169.5,0.0,5270.711343050003
1iYcbBxwW--f99VZ2LIxpkxQiqNJ2jD6h,erythrina_variegata_590_aug_00390.jpg,49,757.1326530612245,5238.641151095786,37051.5,0.0,1611.8103048801422
1lsa8B3_qVHAJ35mGa30MTQj2e4pZnjVA,erythrina_variegata_468_aug_00391.jpg,75,507.8466666666667,4362.327205344515,38034.0,0.0,1717.5260339975357
1uRxyDW8xXxiWMIzTk_lriUtNA6ZnDlOl,erythrina_variegata_103_aug_00388.jpg,3,14012.333333333334,19816.431840492598,42037.0,0.0,1088.298551082611
15j1AVd0q9QjVtpcst6C_bg76tB2Zzvki,erythrina_variegata_748_aug_00385.jpg,56,788.0357142857143,5760.477564882117,43505.5,0.0,1736.9991228580475
1M3VBTY1USXr20r4u3vmPr5TMHzTBf5if,erythrina_variegata_238_aug_00387.jpg,114,344.07894736842104,3642.042656678469,39059.5,0.0,3703.9822113513947
1qcR_4m4tGHHJ_RIzs0o1Ma74zHMnV9N7,erythrina_variegata_238_aug_00380.jpg,114,379.75877192982455,4025.4159075913785,43170.5,0.0,3609.0288932323456
